Syslog Message,Explanation
105509, An error occurred while attempting to send a failover control message to the peer unit. 
105510, An error occurred while attempting to receive a failover control message to the peer unit. 
105511, An error occurred while attempting to receive a failover control message to the peer unit. 
105512, An error occurred while attempting to receive a failover control message to the peer unit. 
105513, An error occurred while attempting to receive a failover control message to the peer unit. 
105514, An error occurred while attempting to receive a failover control message to the peer unit. 
105515, An error occurred while attempting to receive a failover control message to the peer unit. 
105516, An error occurred while attempting to receive a failover control message to the peer unit. 
105517, An error occurred while attempting to receive a failover control message to the peer unit. 
105518, An error occurred while attempting to receive a failover control message to the peer unit. 
105519, An unexpected message was received in response to a failover control message. 
105520, The Active unit has begun responding to Azure Load Balancer probes. 
105521, The Backup unit has stopped responding to Azure Load Balancer probes.
105522, The Active unit has started the process of updating an Azure route-table.
105523, The Active unit has completed the process of updating an Azure route-table.
105524," Another Active HA unit was detected, transitioning unit to negotiating state."
105524," Another Active HA unit was detected, transitioning unit to negotiating state."
105525, An attempt was made to acquire an access token but there was not enough configuration information need to initiate the request.
105526, A response to an Azure access token request was received but the HTTP status code in the response was not 200 (OK).
105527, An internal error occurred while receiving a response to an Azure access token request. 
105528, A response to an Azure route change request was received but it did not contain an access_token value. 
105529, An internal error occurred while attempting to create an authentication header needed for changing Azure routes.
105530, Azure route-table information was not able to be obtained for an Azure route-table change.
105531, Azure route-table information was not able to be obtained for an Azure route-table change.
105532, A response to an Azure route-tablechange request was received but the HTTP status code in the response was not 200 (OK).
105533, An internal error occurred while receiving a response to an Azure route-table change request.
105534, A response to an Azure route-table change request was received but it did not contain a provisioningState value containing the route-table change status.
105535, No response was received to an Azure route-table change request.
105536, An Azure access token was not able to be obtained for an Azure route status query.
105537, A response to an Azure route state request was received but the HTTP status code in the response was not 200 (OK).
105538, An internal error occurred while receiving a response to an Azure route state request.
105539, No response was received to an Azure route state request.
105540, No Azure route-tables were detected to change.
105541, A response to an Azure route-table state request was received that contained a provisioningState that indicated a failure to update the route-table.
105542, The Active unit is will now respond to probes from the Azure Load Balancer.
105543, The Active unit is no longer responding to probes from the Azure Load Balancer.
105544, An internal error occurred while attempting to create a socket for responding to probes from an Azure Load Balancer.
105545, An internal error occurred while attempting to start receiving probes from an Azure Load Balancer. The Active unit will continue to attempt to enable the receiving of probes.
105546, An internal error occurred while attempting to create a process for receiving probes from an Azure Load Balancer.
105547, An internal error occurred while attempting to generate the encryption key used for encrypting the Azure secret key in the configuration.
105548, An internal error occurred while attempting to store the encryption key used for encrypting the Azure secret key in the configuration.
105549, An internal error occurred while attempting to retrieve the encryption key used for encrypting the Azure secret key in the configuration.
105550, An internal error occurred while encrypting the Azure secret key in the configuration.
105551, An internal error occurred while decrypting the Azure secret key in the configuration.
105552, Cloud HA has been disabled on this ASAv.
105553, Another Active HA unit was detected.
106001," An attempt was made to connect to an inside address is denied by the security policy that is defined for the specified traffic type. The IP address displayed is the real IP address instead of the IP address that appears through NAT. Possible tcp_flags values correspond to the flags in the TCP header that were present when the connection was denied. For example, a TCP packet arrived for which no connection state exists in the ASA, and it was dropped. The tcp_flags in this packet are FIN and ACK.   "
106002," The specified connection failed because of an   outbound    deny  command. The   protocol  variable can be ICMP, TCP, or UDP.  "
106006, An inbound UDP packet was denied by the security policy that is defined for the specified traffic type.  
106007, A UDP packet containing a DNS query or response was denied.   
106010, An inbound connection was denied by your security policy.   
106011," The message appears under normal traffic conditions if there are internal users that are accessing the Internet through a web browser. Any time a connection is reset, when the host at the end of the connection sends a packet after the ASA receives the connection reset, this message appears. It can typically be ignored.   "
106012," An IP packet was seen with IP options. Because IP options are considered a security risk, the packet was discarded.   "
106013, The ASA discarded an inbound ICMP Echo Request packet with a destination address that corresponds to a PAT global address. The inbound packet is discarded because it cannot specify which PAT host should receive the packet.  
106014," The ASA denied any inbound ICMP packet access. By default, all ICMP packets are denied access unless specifically allowed.   "
106015," The ASA discarded a TCP packet that has no associated connection in the ASA connection table. The ASA looks for a SYN flag in the packet, which indicates a request to establish a new connection. If the SYN flag is not set, and there is no existing connection, the ASA discards the packet.   "
106016," A packet arrived at the ASA interface that has a destination IP address of 0.0.0.0 and a destination MAC address of the ASA interface. In addition, this message is generated when the ASA discarded a packet with an invalid source address, which may include one of the following or some other invalid address:  "
106017," The ASA received a packet with the IP source address equal to the IP destination, and the destination port equal to the source port. This message indicates a spoofed packet that is designed to attack systems. This attack is referred to as a Land Attack.  "
106018, The outgoing ICMP packet with the specified ICMP from local host (inside_address) to the foreign host (outside_address) was denied by the outbound ACL list.  
106020, The ASA discarded an IP packet with a teardrop signature containing either a small offset or fragment overlapping. This is a hostile event that circumvents the ASA or an Intrusion Detection System.  
106021," An attack is in progress. Someone is attempting to spoof an IP address on an inbound connection. Unicast RPF, also known as reverse route lookup, detected a packet that does not have a source address represented by a route and assumes that it is part of an attack on your ASA.   "
106022," A packet matching a connection arrived on a different interface from the interface on which the connection began. In addition, the ip verify reverse-path command is not configured.  "
106023," A real IP packet was denied by the ACL. This message appears even if you do not have the   log  option enabled for an ACL. The IP address is the real IP address instead of the values that display through NAT. Both user identity information and FQDN information is provided for the IP addresses if a matched one is found. The ASA logs either identity information (domain\\user) or FQDN (if the username is not available). If the identity information or FQDN is available, the ASA logs this information for both the source and destination.  "
106024," The access list compilation process has run out of memory. All configuration information that has been added since the last successful access list was removed from the ASA, and the most recently compiled set of access lists will continue to be used.   "
106025, The security context of the packet in multiple context mode cannot be determined. Both messages can be generated for IP packets being dropped in either router and transparent mode.  
106026, The security context of the packet in multiple context mode cannot be determined. Both messages can be generated for IP packets being dropped in either router and transparent mode.
106027, An non IP packet was denied by the ACL. This message is displayed even if you do not have the log option enabled for an extended ACL.   
106100," The initial occurrence or the total number of occurrences during an interval are listed. This message provides more information than message 106023, which only logs denied packets, and does not include the hit count or a configurable level.   "
106101," If you configured the   log  option for an ACL   deny  statement ( access-list   id     deny   command), and a traffic flow matches the ACL statement, the ASA caches the flow information. This message indicates that the number of matching flows that are cached on the ASA exceeds the user-configured limit (using the   access-list    deny-flow-max  command). This message might be generated as a result of a DoS attack.  "
106102, A packet was either permitted or denied by an access-list that was applied through a VPN filter. This message is the VPN/AAA filter equivalent of message 106100.  
106103, A packet was denied by an access-list that was applied through a VPN filter. This message is the VPN/AAA filter equivalent of message106023.  
107001, The ASA received a RIP reply message with bad authentication. This message might be caused by a misconfiguration on the router or the ASA or by an unsuccessful attempt to attack the routing table of the ASA.  
107002," A router bug, a packet with non-RFC values inside, or a malformed entry may have caused this message to appear. This should not happen, and may be an attempt to exploit the routing table of the ASA.  "
108002, A Mail Guard (SMTP) message has been generated by the inspect esmtp command. The ASA has replaced an invalid character in an e-mail address with a space.  
108003, The ASA has detected a malicious pattern in an e-mail address and drops the connection. An attack is in progress.  
108004," An ESMTP classification is performed on an ESMTP message, and the specified criteria are satisfied. The configured action is taken.  "
108005," An ESMTP classification is performed on an ESMTP message, and the specified criteria are satisfied. The standalone log action is taken.  "
108006, This event is generated when an ESMTP message size exceeds the size declared in the RCPT command.  
108007," On an ESMTP connection, the server has responded with a 220 reply code to the client STARTTLS command. The ESMTP inspection engine no longer inspects the traffic on this connection.  "
109001, The ASA is configured for AAA and detects an authentication request by the specified user.  
109002, An authentication request failed because the specified authentication server cannot be contacted by the module.  
109003, No authentication server can be found.  
109005, The specified authentication request succeeded.  
109006," The specified authentication request failed, possibly because of an incorrect password. The username is hidden when invalid or unknown, but appears when valid or the   no    logging    hide    username  command has been configured.  "
109007, The specified authorization request succeeded.  
109008," A user is not authorized to access the specified address, possibly because of an incorrect password.   "
109010, An authentication request cannot be processed because the server has too many requests pending.  
109011, An authentication session started between the host and the ASA and has not yet completed.  
109012, The authentication cache has timed out. Users must reauthenticate on their next connection. You can change the duration of this timer with the timeout uauth command.  
109013, The user must be authenticated before using the service.  
109014, A request to authenticate did not have a corresponding request for authorization.  
109016, The specified on the AAA server for this user does not exist on the ASA. This error can occur if you configure the AAA server before you configure the ASA. The Vendor-Specific Attribute (VSA) on your AAA server might be one of the following values:  
109017," A user has exceeded the user authentication proxy limit, and has opened too many connections to the proxy.  "
109018, The downloaded authorization has no ACEs. This situation might be caused by misspelling the attribute string  ip:inacl# or omitting the access-list command.  
109019," An error occurred during parsing the sequence number NNN in the attribute string ip:inacl#NNN= of a downloaded authorization. The reasons include: - missing = - contains nonnumeric, nonpace characters between # and = - NNN is greater than 999999999.  "
109020, One of the components of the downloaded authorization has a configuration error. The entire text of the element is included in the message. This message is usually caused by an invalid access-list command statement.  
109021, An internal user authentication error has occurred.  
109022,"For each HTTPS authentication, the ASA dedicates a process to service the authentication request. When the number of concurrently running processes exceeds the system-imposed limit, the ASA does not perform the authentication, and this message appears.  "
109023," Based on the configured policies, you need to be authenticated before you can use this service port.  "
109024, The ASA is configured for AAA and a user attempted to make a TCP connection across the ASA without prior authentication.  
109025,"The check failed. The check either matched a deny or did not match anything, such as an implicit deny. The connection was denied by the user acl_ID, which was defined according to the AAA authorization policy on the Cisco Secure Access Control Server (ACS).  "
109026, The response from the AAA server cannot be validated. The configured server key is probably incorrect. This message may be generated during transactions with RADIUS or TACACS+ servers.  
109027, The response from the AAA server cannot be validated. The configured server key is probably incorrect. This message may be displayed during transactions with RADIUS or TACACS+ servers. The server_IP_address is the IP address of the relevant AAA server. The user is the user name associated with the connection.  
109028,"AAA is being bypassed for same security traffic that matches a configured AAA rule. This can only occur when traffic passes between two interfaces that have the same configured security level, when the same security traffic is permitted, and if the AAA configuration uses the include or exclude syntax.  "
109029, A syntax error occurred while parsing an access list that was downloaded from a RADIUS server during user authentication.  
109030,A dynamic ACL that is configured on a RADIUS server is not converted by the mechanism for automatically detecting wildcard netmasks. The problem occurs because this mechanism cannot determine if the netmask is a wildcard or a normal netmask.  
109031, A user has tried to authenticate to an NT domain that was configured for guest account access and the username is not a valid username on the NT server. The connection is denied.  
109032," The ASA received an access control list from a RADIUS server to apply to a user connection, but an entry in the list contains a syntax error. Th euse of a list containing an error could result in the violation of a security policy, so the ASA failed to authenticate the user.  "
109033," AAA challenge processing was triggered during authentication of an administrative connection, but the ASA cannot initiate interactive challenge processing with the client application. When this occurs, the authentication attempt will be rejected and the connection denied.  "
109034," AAA challenge processing was triggered during authentication of a network connection, but the ASA cannot initiate interactive challenge processing with the client application. When this occurs, the authentication attempt will be rejected and the connection denied.  "
109035, This log is generated when the number of DAP attributes received from the RADIUS server exceeds the maximum number allowed when authenticating a connection for the specified user. 
109036, The LDAP response message contains an attribute that has more than 1000 values.  
109037," The ASA supports multiple values of the same attribute received from a AAA server. If the AAA server sends a response containing more than 5000 values for the same attribute, then the ASA treats this response message as being malformed and rejects the authentication. This condition has only been seen in lab environments using specialized test tools. It is unlikely that the condition would occur in a real-world production network.   "
109038, The AAA subsystem tried to parse an attribute from the AAA server into an internal representation and failed.  
109039, A packet containing IPv6 addresses or IPv4 addresses translated to IPv6 addresses by NAT requires AAA authentication or authorization. AAA authentication and authorization do not support IPv6 addresses. The packet is dropped.  
109040, A connection attempt has been rejected because the ASA has detected a high frequency of HTTPS authentication requests from the same host.  
109100," The ASA has successfully processed the CoA policy update request from coa-source-ip for user username with session id audit-session-id . This syslog message is generated after a change of authorization policy update has been received by the ASA, validated and applied. In a non-error case, this is the only syslog message that is generated when a change of authorization is received and processed.  "
109101, The ASA has received a correctly formatted Disconnect-Request for an active VPN session and has successfully terminated the connection.  
109102," The ASA has received a valid change of authorization request, but the session ID specified in the request does not match any active sessions on the ASA. This could be the result of the change of authorization server attempting to issue a change of authorization on a session that has already been closed by the user.   "
109103," The ASA has received a correctly formatted change of authorization request, but was unable to process it successfully.  "
109104," The ASA has received a correctly formatted change of authorization request, but did not process it because the indicated action is not supported by the ASA.  "
109105," It is necessary for FTD to log a syslog if no routes are present when the interface is BVI. Apparently, if default route is present and it does not route packet to the correct interface then it becomes impossible to track it. In case of FTD, management routes are looked first following the data interface. So if default route is routing packets to different destination, then it is difficult to track it. "
110002, An error occurred when the ASA tried to find the interface through which to send the packet.   
110003, An error occurred when the ASA tried to find the next hop on an interface routing table.  
110004, A flow changed on the egress interface.  
111001," You have entered the   write  command to store your configuration on a device (either floppy, flash memory, TFTP, the failover standby unit, or the console terminal). The   IP_address  indicates whether the login was made at the console port or with a Telnet connection.  "
111002," You have entered the   read   command to read your configuration from a device (either floppy disk, flash memory, TFTP, the failover standby unit, or the console terminal). The   IP_address  indicates whether the login was made at the console port or with a Telnet connection.  "
111003, You have erased the contents of flash memory by entering the   write    erase  command at the console. The   IP_address  value indicates whether the login was made at the console port or through a Telnet connection.   
111004, You have entered the   config    floppy/memory/    network  command or the   write    floppy/memory/network/standby  command. The   IP_address  value indicates whether the login was made at the console port or through a Telnet connection.   
111005, You have exited the configuration mode. The   IP_address  value indicates whether the login was made at the console port or through a Telnet connection.  
111007," You have entered the   reload  or   configure  command to read in a configuration. The device text can be floppy, memory, net, standby, or terminal. The   IP_address  value indicates whether the login was made at the console port or through a Telnet connection.  "
111008," The user entered any command, with the exception of a   show  command.  "
111009, The user entered a command that does not modify the configuration. This message appears only for   show  commands.  
111010, A user made a configuration change.  
111111, A system or infrastructure error has occurred.  
112001, A request to clear the module configuration was completed. The source file and line number are identified.  
113001, The AAA operation on an IPsec tunnel or WebVPN connection cannot be performed because of the unavailability of AAA resources. The   limit  value indicates the maximum number of concurrent AAA transactions.  
113003," The group policy that is associated with the tunnel group is being overridden with a user-specific policy,  policy_name . The  policy_name is specified using the   username  command when LOCAL authentication is configured or is returned in the RADIUS CLASS attribute when RADIUS authentication is configured.  "
113004," The AAA operation on an IPsec or WebVPN connection has been completed successfully. The AAA types are authentication, authorization, or accounting. The   server_IP_address  is the IP address of the relevant AAA server. The   user  is the user name associated with the connection.  "
113005," The AAA authentication on a connection has failed. The username is hidden when invalid or unknown, but appears when valid or the   no    logging    hide    username  command has been configured.  "
113005," The AAA authentication on a connection has failed. The username is hidden when invalid or unknown, but appears when valid or the   no    logging    hide    username  command has been configured.  "
113006," A locally configured user is being locked out. This happens when a configured number of consecutive authentication failures have occurred for this user and indicates that all future authentication attempts by this user will be rejected until an administrator unlocks the user using the   clear    aaa    local    user    lockout  command. The   user  is the user that is now locked, and the   number  is the consecutive failure threshold configured using the   aaa    local    authentication    attempts    max-fail   command.  "
113007, A locally configured user that was locked out after exceeding the maximum number of consecutive authentication failures set by using the   aaa    local    authentication    attempts    max-fail   command has been unlocked by the indicated administrator.  
113008, The AAA transaction for a user associated with an IPsec or WebVPN connection was completed successfully. The user is the username associated with the connection.  
113009, The authentication or authorization of an IPsec or WebVPN connection has occurred. The attributes of the group policy that were specified with the   tunnel-group  or   webvpn  commands have been retrieved.  
113010, The authentication of an IPsec connection has occurred with a SecurID server. The user will be prompted to provide further information before being authenticated.   
113011, The authentication or authorization of an IPsec or WebVPN connection has occurred. The attributes of the group policy that was specified with the   tunnel-group  or   webvpn  commands have been retrieved.  
113012, The user associated with a IPsec or WebVPN connection has been successfully authenticated to the local user database.   
113013, The AAA transaction for a user associated with an IPsec or WebVPN connection has failed because of an error or has been rejected because of a policy violation.   
113014," The device was unable to communicate with the configured AAA server during the AAA transaction associated with an IPsec or WebVPN connection. This may or may not result in a failure of the user connection attempt depending on the backup servers configured in the   aaa-server  group and the availability of those servers. The username is hidden when invalid or unknown, but appears when valid or the   no    logging    hide    username  command has been configured.  "
113015," A request for authentication to the local user database for a user associated with an IPsec or WebVPN connection has been rejected. The username is hidden when invalid or unknown, but appears when valid or the   no logging   hide username  command has been configured.   "
113016," The AAA transaction for a user associated with an IPsec or WebVPN connection has failed because of an error or rejected due to a policy violation. The username is hidden when invalid or unknown, but appears when valid or the   no    logging    hide    username  command has been configured.  "
113017, The AAA transaction for a user associated with an IPsec or WebVPN connection has failed because of an error or rejected because of a policy violation. This event only appears when the AAA transaction is with the local user database rather than with an external AAA server.   
113018, An ACL entry in unsupported format was downloaded from the authentication server. The following list describes the message values:  
113019, An indication of when and why the longest idle user is disconnected.   
113020," Authentication for an IPsec or WebVPN user through a Kerberos server has failed because the clocks on the ASA and the server are more than five minutes (300 seconds) apart. When this occurs, the connection attempt is rejected.  "
113021, A user has tried to access the management console and was denied.  
113022," The ASA has tried an authentication, authorization, or accounting request to the AAA server and did not receive a response within the configured timeout window. The AAA server will be marked as failed and has been removed from service.  "
113023, The ASA has reactivated the AAA server that was previously marked as failed. The AAA server is now available to service AAA requests.  
113024, The prefill username feature overrides the username with one derived from the client certificate for use in AAA.  
113025, A username cannot be successfully extracted from the certificate.  
113026, An error occurred while extracting a username from the client certificate for use in AAA. This message is only generated when the username-from-certificate use-script option is enabled.  
113027, The script file cannot be loaded successfully. No tunnel groups using the username-from-certificate use-script option work correctly.  
113028, The processing request of a username from a certificate is running or has finished.  
113029, The user session cannot be established because the current number of sessions exceeds the maximum session load.  
113030, The specified ACL was not found on the ASA.  
113031, The type of ACL to be applied is incorrect. An IPv6 ACL has been configured as an IPv4 ACL through the   vpn-filter  command.  
113032, The type of ACL to be applied is incorrect. An IPv4 ACL has been configured as an IPv6 ACL through the   ipv6-vpn-filter  command.  
113033, The WebVPN session for the specified user in this group is not allowed because the associated ACL did not parse. The user will not be allowed to log in via WebVPN until this error has been corrected.  
113034, The specified ACL was not used because a Cisco AV-PAIR ACL was used.  
113035," The user logged in via the AnyConnect client. The SVC service is not enabled globally, or the SVC image is invalid or corrupted. The session connection has been terminated.  "
113036, The given parameter   has a bad value. The value is not shown because it might be very long.  
113037, A user was unable to log in to WebVPN because the ASA is in the process of rebooting.  
113038," The AnyConnect session was not created for the user in the specified group because of resource issues. For example, the user may have reached the maximum login limit.  "
113039," The AnyConnect session has started for the user in this group   at the specified IP address. When the user logs in via the AnyConnect login page, the AnyConnect session starts.   "
113040, The tunnel group over which the connection is attempted is not the same as the tunnel group set in the group lock.  
113041," An error occurred when the redirect URL was installed and the ACL was received from the ISE, but the redirect ACL does not exist on the ASA.  "
113042," For the CoA feature, the redirect ACL filter drops the matching non-HTTP traffic during the redirect processing and provides information about the terminated traffic flow.  "
114001, The system failed to initialize a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114002, The system failed to initialize an SFP connector in a 4GE SSM I/O card because of an I2C error or a switch initialization error.   
114003, The system failed to run cached commands in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114004, The user has been notified that a 4GE SSM I/O initialization is starting.  
114005, The user has been notified that an 4GE SSM I/O initialization is finished.   
114006, The ASA failed to obtain port statistics in a 4GE SSM I/O card because of an I2C error or a switch initialization error.   
114007, The ASA failed to obtain the current module status register information in a 4GE SSM I/O card because of an I2C error or a switch initialization error.   
114008, The ASA failed to enable a port after the link transition to Up state is detected in a 4GE SSM I/O card because of either an I2C serial bus access error or a switch access error.  
114009, The ASA failed to set the multicast address in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114010, The ASA failed to set the multicast hardware address in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114011, The ASA failed to delete the multicast address in a 4GE SSM I/O card because of either an I2C error or a switch initialization error.  
114012, The ASA failed to delete the multicast hardware address in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114013, The ASA failed to set the MAC address table in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114014, The ASA failed to set the MAC address in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114015, The ASA failed to set individual or promiscuous mode in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114016,The ASA failed to set the multicast mode in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114017,The ASA failed to obtain link status in a 4GE SSM I/O card because of an I2C serial bus access error or a switch access error.  
114018, The ASA failed to set the port speed in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114019,The ASA failed to set the media type in a 4GE SSM I/O card because of an I2C error or a switch initialization error.  
114020,The ASA cannot detect the port link speed in a 4GE SSM I/O card.  
114021,The ASA failed to set the multicast address table in the 4GE SSM I/O card because of either an I2C serial bus access error or a switch access error.  
114022,The ASA failed to pass broadcast traffic in the 4GE SSM I/O card because of a switch access error.  
114023, A failure to cache or flush the MAC table in a 4GE SSM I/O card occurred because of an I2C serial bus access error or a switch access error. This message rarely occurs.  
115000,"The critical assertion has gone off and is used during development in checked builds only, but never in production builds.  "
115001," An error assertion has gone off and is used during development in checked builds only, but never in production builds.  "
115002," A warning assertion has gone off and is used during development in checked builds only, but never in production builds.  "
120001," The Smart Call-Home module started successfully after system bootup and failover in a stable state, and is ready to process Smart-Call Home events.  "
120002," When the Smart Call-Home module is disabled, it is then terminated.  "
120003, The Smart Call-Home module retrieved an event from the queue to process.  
120004," A Smart Call-Home event was dropped. The event may have been dropped because of an internal error, the event queue is full, or the Smart Call-Home module was disabled after the message was generated, but before it was processed.  "
120005," A Smart Call-Home message was dropped. The message may have been dropped because of an internal error, a network error, or the Smart Call-Home module was disabled after the message was generated, but before it was delivered.  "
120006, An error occurred while the Smart Call Home module tried to deliver a message. The error may be transient. The message is not dropped when message 120006 is generated. The message may be queued for retransmission. The message is only dropped when message 120005 is generated.  
120007, A Smart Call Home message was successfully delivered.  
120008," The Smart Call Home module is enabled, an event group is also enabled, and that event group is subscribed to by at least one active profile. If these conditions are met, then all clients of that group will be activated.  "
120009," The Smart Call Home module is disabled, an event group is enabled, or an event group is no longer subscribed to by any active profile. If these conditions are met, clients of that event group will be deactivated.  "
